ACC	ncldv	caudo	ratio
GVOG28099.trim	29.0	0.0	1
GVOG05043.trim	2.0	0.0	1
GVOG08123.trim	2.0	0.0	1
GVOG24288.trim	11.0	0.0	1
GVOG22944.trim	23.0	6.0	1
GVOG05164.trim	3.0	0.0	1
GVOG13066.trim	4.0	0.0	1
GVOG05548.trim	3.0	0.0	1
GVOG10212.trim	2.0	0.0	1
GVOG09977.trim	2.0	0.0	1
GVOG07242.trim	4.0	0.0	1
GVOG06078.trim	2.0	0.0	1
GVOG17797.trim	4.0	0.0	1
GVOG13847.trim	7.0	0.0	1
GVOG23462.trim	5.0	0.0	1
GVOG00359.trim	15.0	0.0	1
GVOG24962.trim	43.0	0.0	1
GVOG27240.trim	19.0	0.0	1
GVOG27910.trim	9.0	0.0	1
GVOG01448.trim	4.0	0.0	1
GVOG06204.trim	2.0	0.0	1
GVOG23419.trim	3.0	0.0	1
GVOG10370.trim	6.0	0.0	1
GVOG26809.trim	8.0	0.0	1
GVOG05061.trim	2.0	0.0	1
GVOG14286.trim	2.0	0.0	1
GVOG11214.trim	2.0	13.0	1
GVOG09956.trim	2.0	0.0	1
GVOG15849.trim	4.0	0.0	1
GVOG07158.trim	2.0	0.0	1
GVOG27245.trim	23.0	1.0	1
GVOG11870.trim	2.0	0.0	1
GVOG08245.trim	2.0	0.0	1
GVOG27156.trim	22.0	0.0	1
GVOG24208.trim	8.0	0.0	1
GVOG06383.trim	2.0	0.0	1
GVOG01402.trim	7.0	0.0	1
GVOG17662.trim	15.0	0.0	1
GVOG25174.trim	7.0	20.0	1
GVOG07549.trim	3.0	0.0	1
GVOG11247.trim	2.0	0.0	1
GVOG03825.trim	4.0	0.0	1
GVOG06697.trim	3.0	0.0	1
GVOG15529.trim	8.0	0.0	1
GVOG05675.trim	2.0	0.0	1
GVOG05455.trim	2.0	0.0	1
GVOG12387.trim	2.0	5.0	1
GVOG20111.trim	2.0	0.0	1
GVOG16871.trim	2.0	0.0	1
GVOG27991.trim	7.0	0.0	1
GVOG08207.trim	2.0	0.0	1
GVOG25038.trim	7.0	0.0	1
GVOG02147.trim	4.0	0.0	1
GVOG16900.trim	3.0	0.0	1
GVOG20719.trim	28.0	0.0	1
GVOG13030.trim	2.0	0.0	1
GVOG03579.trim	15.0	0.0	1
GVOG25870.trim	184.0	1.0	1
GVOG00319.trim	5.0	0.0	1
GVOG06960.trim	2.0	0.0	1
GVOG08974.trim	3.0	0.0	1
GVOG28257.trim	9.0	0.0	1
GVOG01783.trim	10.0	1.0	1
GVOG20725.trim	40.0	0.0	1
GVOG16910.trim	3.0	0.0	1
GVOG01852.trim	4.0	1.0	1
GVOG17551.trim	5.0	0.0	1
GVOG15726.trim	2.0	0.0	1
GVOG26015.trim	9.0	0.0	1
GVOG27720.trim	9.0	0.0	1
GVOG28083.trim	5.0	0.0	1
GVOG22132.trim	2.0	0.0	1
GVOG18022.trim	3.0	0.0	1
GVOG28688.trim	7.0	1.0	1
GVOG15380.trim	22.0	0.0	1
GVOG06295.trim	2.0	6.0	1
GVOG01567.trim	10.0	0.0	1
GVOG02872.trim	4.0	0.0	1
GVOG09424.trim	2.0	0.0	1
GVOG05077.trim	5.0	0.0	1
GVOG11375.trim	2.0	0.0	1
GVOG13992.trim	7.0	0.0	1
GVOG17540.trim	6.0	0.0	1
GVOG14699.trim	6.0	0.0	1
GVOG09852.trim	3.0	0.0	1
GVOG00287.trim	16.0	0.0	1
GVOG12997.trim	7.0	1.0	1
GVOG16456.trim	3.0	0.0	1
GVOG06355.trim	2.0	0.0	1
GVOG15071.trim	4.0	0.0	1
GVOG07623.trim	2.0	1.0	1
GVOG06324.trim	2.0	0.0	1
GVOG14531.trim	2.0	0.0	1
GVOG12152.trim	5.0	0.0	1
GVOG18173.trim	4.0	1.0	1
GVOG04571.trim	2.0	0.0	1
GVOG17678.trim	5.0	0.0	1
GVOG07689.trim	2.0	0.0	1
GVOG07384.trim	3.0	0.0	1
GVOG11238.trim	2.0	0.0	1
GVOG11954.trim	2.0	0.0	1
GVOG16392.trim	2.0	4.0	1
GVOG00976.trim	27.0	2.0	1
GVOG25565.trim	30.0	1.0	1
GVOG27027.trim	26.0	0.0	1
GVOG16890.trim	2.0	7.0	1
GVOG10669.trim	3.0	0.0	1
GVOG18821.trim	11.0	28.0	1
GVOG05335.trim	2.0	0.0	1
GVOG25094.trim	13.0	0.0	1
GVOG26160.trim	8.0	0.0	1
GVOG09069.trim	2.0	0.0	1
GVOG27252.trim	2.0	1.0	1
GVOG08367.trim	3.0	0.0	1
GVOG02720.trim	6.0	0.0	1
GVOG14505.trim	3.0	0.0	1
GVOG02554.trim	7.0	0.0	1
GVOG23604.trim	3.0	0.0	1
GVOG10691.trim	6.0	0.0	1
GVOG27974.trim	3.0	0.0	1
GVOG17985.trim	2.0	0.0	1
GVOG19139.trim	5.0	0.0	1
GVOG05817.trim	5.0	0.0	1
GVOG00245.trim	10.0	0.0	1
GVOG24566.trim	5.0	0.0	1
GVOG03852.trim	3.0	0.0	1
GVOG11513.trim	3.0	0.0	1
GVOG19706.trim	3.0	2.0	1
GVOG10931.trim	3.0	0.0	1
GVOG14569.trim	6.0	0.0	1
GVOG22381.trim	3.0	20.0	1
GVOG04629.trim	2.0	0.0	1
GVOG10956.trim	6.0	0.0	1
GVOG11674.trim	3.0	0.0	1
GVOG13673.trim	3.0	0.0	1
GVOG02285.trim	7.0	0.0	1
GVOG11526.trim	3.0	0.0	1
GVOG01188.trim	10.0	0.0	1
GVOG26304.trim	70.0	0.0	1
GVOG16034.trim	5.0	0.0	1
GVOG14329.trim	3.0	0.0	1
GVOG12255.trim	3.0	0.0	1
GVOG13630.trim	2.0	0.0	1
GVOG01893.trim	4.0	0.0	1
GVOG27142.trim	9.0	0.0	1
GVOG21901.trim	19.0	0.0	1
GVOG21603.trim	9.0	0.0	1
GVOG13332.trim	4.0	6.0	1
GVOG16578.trim	2.0	1.0	1
GVOG08975.trim	6.0	0.0	1
GVOG00353.trim	9.0	0.0	1
GVOG13044.trim	3.0	0.0	1
GVOG17731.trim	4.0	0.0	1
GVOG16399.trim	3.0	2.0	1
GVOG24115.trim	16.0	0.0	1
GVOG02258.trim	39.0	0.0	1
GVOG19085.trim	4.0	0.0	1
GVOG17346.trim	3.0	0.0	1
GVOG01059.trim	5.0	1.0	1
GVOG00160.trim	24.0	0.0	1
GVOG23810.trim	13.0	0.0	1
GVOG03814.trim	5.0	0.0	1
GVOG09401.trim	2.0	0.0	1
GVOG20273.trim	9.0	0.0	1
GVOG01109.trim	17.0	0.0	1
GVOG10433.trim	4.0	0.0	1
GVOG24445.trim	2.0	0.0	1
GVOG28654.trim	4.0	0.0	1
GVOG00187.trim	9.0	0.0	1
GVOG19459.trim	3.0	0.0	1
GVOG19714.trim	3.0	0.0	1
GVOG28077.trim	7.0	0.0	1
GVOG07793.trim	2.0	0.0	1
GVOG15401.trim	5.0	0.0	1
GVOG17529.trim	4.0	0.0	1
GVOG21571.trim	5.0	0.0	1
GVOG00314.trim	10.0	0.0	1
GVOG07977.trim	2.0	0.0	1
GVOG26302.trim	13.0	0.0	1
GVOG28540.trim	9.0	0.0	1
GVOG05828.trim	4.0	1.0	1
GVOG16354.trim	4.0	0.0	1
GVOG27829.trim	8.0	1.0	1
GVOG23461.trim	3.0	0.0	1
GVOG00585.trim	12.0	0.0	1
GVOG13444.trim	8.0	0.0	1
GVOG27256.trim	3.0	0.0	1
GVOG06122.trim	3.0	0.0	1
GVOG22337.trim	6.0	0.0	1
GVOG01165.trim	12.0	0.0	1
GVOG03335.trim	12.0	49.0	1
GVOG09071.trim	2.0	0.0	1
GVOG12641.trim	2.0	0.0	1
GVOG25463.trim	3.0	0.0	1
GVOG08495.trim	3.0	0.0	1
GVOG19455.trim	4.0	0.0	1
GVOG15888.trim	2.0	0.0	1
GVOG19204.trim	9.0	0.0	1
GVOG23908.trim	3.0	0.0	1
GVOG01491.trim	3.0	0.0	1
GVOG12608.trim	4.0	0.0	1
GVOG26712.trim	7.0	0.0	1
GVOG14846.trim	4.0	3.0	1
GVOG13267.trim	2.0	0.0	1
GVOG03537.trim	17.0	2.0	1
GVOG05604.trim	2.0	0.0	1
GVOG23109.trim	15.0	0.0	1
GVOG18075.trim	2.0	0.0	1
GVOG27071.trim	4.0	0.0	1
