ACC	ncldv	caudo	ratio	class
PF04860.12	1	674	5	
PF00959.19	1	570	5	
PF13481.6	1	475	5	
PF01807.20	1	247	5	
PF12322.8	1	243	5	
PF08761.11	1	198	5	
PF00589.22	4	731	5	
PF00166.21	1	159	5	
PF01551.22	1	158	5	
PF04965.14	2	288	5	
PF03906.14	2	285	5	
PF07230.11	2	249	5	
PF13936.6	1	124	5	
PF08281.12	1	124	5	
PF08748.11	1	112	5	
PF01183.20	1	107	5	
PF08237.11	1	94	5	
PF05838.12	1	91	5	
PF05367.11	2	179	5	
PF14550.6	1	89	5	
PF07728.14	2	176	5	
PF05869.11	2	173	5	
PF02229.16	1	83	5	
PF13203.6	1	82	5	
PF10127.9	3	246	5	
PF01695.17	2	163	5	
PF00182.19	2	141	5	
PF08291.11	1	70	5	
PF08275.11	2	139	5	
PF13529.6	1	68	5	
PF09524.10	1	64	5	
PF01507.19	1	63	5	
PF09956.9	1	60	5	
PF12684.7	3	174	5	
PF13560.6	3	157	5	
PF05489.12	1	49	5	
PF02018.17	1	49	5	
PF01343.18	2	96	5	
PF10922.8	1	47	5	
PF13192.6	1	47	5	
PF00216.21	4	183	5	
PF02075.17	3	137	5	
PF13307.6	1	43	5	
PF02452.17	1	42	5	
PF00127.20	1	42	5	
PF13384.6	5	210	5	
PF07509.11	1	41	5	
PF04095.16	6	236	5	
PF09458.10	2	76	5	
PF06810.11	2	75	5	
PF18143.1	3	112	5	
PF13394.6	1	35	5	
PF09511.10	7	240	5	
PF00717.23	5	164	5	
PF05866.11	8	254	5	
PF01139.17	3	93	5	
PF12708.7	2	57	5	
PF16473.5	12	312	5	
PF02945.15	20	483	5	
PF01471.18	4	92	5	
PF04973.12	5	111	5	
PF00550.25	2	44	5	
PF12850.7	8	165	5	
PF00144.24	10	188	5	
PF04545.16	4	74	5	
PF04389.17	2	35	5	
PF01476.20	10	174	5	
PF03013.14	6	104	5	
PF13671.6	17	284	5	
PF08346.12	2	33	5	
PF01661.21	15	247	5	
PF00801.20	3	48	5	
PF15711.5	6	79	4.8750493521	
PF05014.15	4	51	4.7544596389	
PF10263.9	10	125	4.6739977029	
PF09414.10	27	319	4.4528467711	
PF12844.7	6	67	4.2854079179	
PF02368.18	27	294	4.1798646256	
PF02146.17	10	105	4.0843562686	
PF06508.13	6	60	3.9414504146	
PF18724.1	5	49	3.8836123973	
PF09250.11	13	126	3.8428534649	
PF07463.11	14	133	3.785031047	
PF00533.26	9	85	3.7742827489	
PF13521.6	12	112	3.738146513	
PF00210.24	5	45	3.6477558236	
PF10686.9	19	172	3.6475069376	
PF13895.6	5	43	3.5298275367	
PF00923.19	7	60	3.5191518354	
PF01743.20	8	65	3.3864093177	
PF01145.25	35	275	3.2770340773	
PF00204.25	18	136	3.2072640369	
PF07724.14	5	36	3.1170785327	
PF14216.6	33	241	3.115922469	
PF12706.7	13	91	3.0491053803	
PF13927.6	13	88	2.9810698302	
PF11360.8	9	57	2.85706274	
PF13412.6	10	57	2.6692168264	
PF03819.17	43	247	2.6450816261	
PF01227.22	7	37	2.5504551934	
PF13476.6	66	362	2.5427226393	
PF07733.12	29	154	2.5329420126	
PF00665.26	7	34	2.4241034575	
PF05257.16	26	125	2.3881280146	
PF07460.11	22	105	2.3823241024	
PF01981.16	11	52	2.3813105481	
PF04542.14	20	95	2.3778758839	
PF13328.6	10	47	2.3743961093	
PF14240.6	12	56	2.3623164998	
PF14743.6	30	132	2.2634273716	
PF14528.6	10	43	2.2564678224	
PF02463.19	16	69	2.2533963246	
PF00111.27	8	33	2.2071264492	
PF00258.25	8	32	2.1702738595	
PF18454.1	15	60	2.1623909766	
PF13482.6	34	133	2.1149809875	
PF00239.21	60	239	2.1068016223	
PF01503.17	36	136	2.0732266131	
PF06941.12	34	128	2.0716249997	
PF13759.6	15	55	2.0641174043	
PF13392.6	188	811	2.0600946797	
PF13229.6	21	75	2.029282484	
PF01381.22	172	639	1.9015995519	
PF13604.6	61	198	1.8882653554	
PF13472.6	31	93	1.8495522415	
PF07799.12	9	26	1.8415691588	
PF02672.15	17	47	1.7959484267	
PF00462.24	166	553	1.7952067774	
PF00847.20	15	39	1.7496419726	
PF02511.15	162	508	1.7420671003	
PF02195.18	46	121	1.7237048672	
PF02223.17	26	63	1.6850939968	
PF03496.14	55	136	1.6670742909	
PF01612.20	23	53	1.6534685777	
PF02399.15	34	77	1.629393924	
PF00011.21	28	61	1.6107564594	
PF16778.5	22	47	1.6050694846	
PF06094.12	16	33	1.5900497111	
PF01068.21	155	399	1.5843760384	
PF02518.26	34	67	1.5426819484	
PF05265.13	15	28	1.5334401134	
PF04446.12	15	26	1.4941306845	
PF08410.10	14	24	1.4896411779	
PF13401.6	18	30	1.4710975916	
PF13522.6	16	26	1.4610656473	
PF03767.14	46	74	1.422475004	
PF01885.16	9	13	1.4157170118	
PF02272.19	15	22	1.4155118266	
